,	，,，,、,、
bat	不,筆,畢,𢳂,拔,弼,跋,佖,泌,怭,駜,彃,嗶,滭,縪,蹕,僰,甭,蓽,苾,犮,胈,鈸,軷,吥,魃,篳,鼥,佛,菝
be	啤
bei	比,俾,被,備,秘,避,鼻,臂,媲,卑,痺,痹,椑,脾,裨,碑,髀,鞞,悲,彼,庇,匕,祕,篦,沘,妣,陂,柀,詖,跛,鞁,鉍,轡,泌,蓖,潷,閟,箅,簰,憊,糒,骳,髲,疕,咇,鄪,芘,奰,毖,邲,畀,柲,秕,屄,賁,費,羆,箄,襣,鵯,藣,犤,贔,萆
bek	壁
beng	病,餅,柄,鉼
bik	迫,逼,碧,壁,璧,辟,襞,躄,綼,愎,皕,鼊,偪,湢,揊,愊,楅,腷
bin	便,變,邊,扁,貶,辨,辯,辮,鞭,砭,弁,釆,蝙,褊,遍,箯,稨,碥,艑,匾,卞,抃,忭,汳,窆,籩,萹,惼,猵,汴
bing	並,併,冰,兵,丙,炳,抦,柄,摒,乒,秉,檳,餅,鉼,病,屏,怲,鞞,邴,昺,迸,栟,掤,寎,偋,并
bit	必,別,𡋾,彆,鷩,癟,鱉,憋,觱,佖,咇,怭,珌,飶,馝,駜,鮅,襒,蹩,虌
biu	表,標,錶,鑣,鏢,彪,飆,滮,杓,膘,票,裱,摽,熛,颮,蔈,婊,俵,麃,瘭,儦,瀌,褾,穮,臕,藨,髟,颩,驫,猋
bo	步,保,部,報,補,堡,寶,布,佈,怖,哺,埔,捕,暴,簿,煲,褒,葆,褓,鈽,脯,駂,逋,瀑,蔀,埠,圃,餔,鴇,虣,抪,儤,嚗,篰,孬,峬,鵏,晡,菢
boh	波,坡,玻,菠,般,啵,播,𡃓,鄱,簸,嶓,磻,譒,碆,跛,簸
bok	扑,駁,博,搏,縛,膊,薄,雹,亳,鉑,舶,僰,泊,胉,剝,壆,謈,嚗,駮,懪,瓝,濼,餺,鎛,礡,糪,瓟,箔,髆,欂,襮,犦,猼,鑮
bong	邦,幫,榜,縛,綁,磅,鎊,傍,蒡,牓,縍,膀,甏,鞤,梆,埲
booi	貝,背,輩,狽,悖,鋇,邶,褙,唄,焙
boon	本,半,伴,般,搬,畔,胖,絆,叛,靽,畚,苯,柈,拌,姅
boot	撥,砵,缽,𠼭,孛,勃,浡,渤,跋,襏,鈸,脖,荸,茀,哱,餑,鋍,馞,鵓,鱍,桲,蹳,葧
bor	波,坡,玻,菠,般,啵,播,𡃓,鄱,簸,嶓,磻,譒,碆,跛,簸
bui	貝,背,輩,杯,盃,狽,揹,悖,鋇,孛,邶,誖,褙,焙,浿,偝,棓,桮
buk	卜,僕,樸,濮,曝,瀑,蹼,襆,伏,醭,纀,襮,鏷,轐,暴
bum	泵,乓
bun	品,笨,奔,賓,檳,繽,彬,斌,稟,鬢,殯,儐,嬪,臏,豳,濱,瀕,璸,汃,坌,邠,般,錛,鑌,攽,擯,玢,賁,蠙,髕
bung	捧,乓,甭,玤,埲,琫,菶
#
cha	叉,差,查,茶,搽,嗏,喳,撾,岔,槎,碴,蜡,衩,侘,蹅,杈,扠,奼,艖,汊,秅,奓,垞,詫,茬,欻,楂
chaai	柴,喍,豺,踩,差,猜,釵,齊,揣,儕,踹,嘬,瘥,跐,跴,茈,囆,蠆,搋
chaak	拆,策,冊,測,賊,坼,圠,惻,茦,筴,柵
chaam	慘,參,慚,杉,懺,讖,憯,巉,儳,舕,攙,饞,縿,獑,毚,讒,蠶,辿,篸,劖,嚵,驂,梫,瀺,欃,蚕,黲,朁,鑱
chaan	產,剷,鏟,餐,殘,燦,璨,澯,粲,驏,羼,滻,丳,孱
chaang	橙,撐,𨅝,撜,爭,瞠,朾,橕,倀,掁,棖,牚
chaap	插,臿,鍤
chaat	刷,擦,察,獺,剎,嚓,唰,礤
chaau	吵,抄,𠳕,炒,鈔,巢,訬,耖,樔,罺,肏,轈,勦,鄛
chah	查,茶,搽
chai	齊,切,砌,妻,凄,悽,淒,薺,郪,沏,棲,嚌,懠,鮆,栖,萋,眥,蠐,差,鱭,傺,仔
chak	測,蚱,翟,蹢,惻,畟,襗,廁
cham	尋,沉,浸,怎,枕,針,斟,侵,噚,唚,寢,蕈,潯,嶄,參,嵾,墋,撏,噚,讖,噆,諃,伔,磣,踸,蕁,燅,燖,鄩,沈,湛,駸,篸,鬵,梫,梣,灊,寑,譖,鱘,棽
chan	陳,塵,親,嚫,襯,趁,診,縝,哂,賑,振,陣,震,賬,瞋,珍,櫬,鎮,蔯,黰,疢,儭,齔,抻,矧,疹,辴,瀙,畛,攢,鬒,紾,稱,捵,真,軫,嗔
char	叉,差,查,茶,搽,嗏,喳,撾,岔,槎,碴,蜡,衩,侘,蹅,杈,扠,奼,艖,汊,秅,奓,垞,詫,茬,欻,楂
chang	請,青,鄭,曾,層,嶒,噌,鄫,竀
chap	集,習,緝,戢,緁,輯,濈,蕺,咠,葺
chat	七,柒,漆,軋,桼,𨳍
chau	臭,嗅,抽,秋,揪,籌,醜,酬,周,週,囚,鞦,酋,丑,仇,綢,惆,儔,遒,疇,瞅,躊,詶,緧,殠,鰍,泅,蝤,唒,輳,湊,篘,糗,瘳,棹,溴,懤,杻,雔,幬,鮂,鼀,酘,鶖,讎,紬,犨,崷,萩,腠,傶,裯,稠,搊,楸
che	且,車,唓,扯,𠳏,邪,斜,奢,鄭,輋,撦,灺,檨,哆,姊,奲,尺,硨,趄
chek	赤,尺,呎,隻,蚇,跖
cheng	鄭,淨,晴,阱,精
cheu	僦
cheuk	卓,桌,綽,灼,噱,酌,雀,爵,鵲,戳,勺,芍,趠,倬,踔,穛,婼,婥,碏,皵,逴,焯
cheung	長,詳,場,唱,暢,搶,窗,鎗,槍,昌,猖,鏘,翔,牆,祥,腸,娼,悵,薔,戧,牄,熗,嗆,檣,鯧,瑲,萇,錆,爿,廧,嬙,錩,倀,謒,戕,蹌,斨,韔,閶,蹡,倡,庠,鶬,鼚,蘠,羥,瑒,墻,菖,囪,鬯
chi	次,此,似,持,始,遲,詞,辭,慈,至,池,弛,匙,恥,翅,矢,齒,磁,厠,廁,賜,雌,痴,癡,黐,粢,刺,馳,祠,𠻸,茲,侈,奓,柿,瓷,疵,嗤,恃,峙,恣,蚳,質,幟,踟,墀,笞,啻,泜,魑,訾,臍,薺,翨,跮,跐,嘁,誃,箈,摛,治,箎,聇,胣,謻,哧,茌,蚩,褫,餈,佽,佌,飺,篪,踶,扡,杝,朿,汜,坻,鴟,庛,儩,恀,哆,姼,骴,呲,拸,薋,泚,螭,熾,歭,荎,茈,玼,礩,鶿,傂,偨,齝,眵,茬,攡,髊,蚝,胵,眙,郗,饎,偍,姒,吱,絺,差,只,瓻,蛓,媸,絘,胔,齹,莿,玆,搋,茨,豕
chik	斥,戚,叱,慼,嘁,摵,藉,飭,瘠,槭,嘖,赤,炙,螫,脊,鷘,析,刺,彳,抶,蟄,漬,敕,鶒,鶺,鏚,鼞,鼜,唶,蓆
chim	簽,籤,纖,殲,僭,潛,暹,諂,塹,槧,銛,憸,燅,燂,鋟,幨,嬐,薟,鬵,孅,櫼,攕,綅,酟,僉
chin	千,仟,遷,前,錢,淺,踐,纏,躔,韆,闡,嘽,幝,廛,俴,阡,扦,芊,蕆,刌,燀,瀍,顜,囅,梴
ching	正,青,清,請,稱,情,晴,程,懲,呈,逞,秤,拯,澄,瞪,菁,蜻,偁,凈,淨,井,成,蔥,徵,撜,澂,鯖,酲,騁,赬,檉,餳,埕,圊,蟶,郢,裎,氰
chip	妾,菨,踥,鯜,呫,跕,詀
chit	設,切,撤,徹,澈,轍,蔎,磩,屮,沏,孳,懘,掣
chiu	趙,招,超,釗,昭,照,朝,潮,肖,俏,悄,睄,誚,憔,嫶,燋,樵,瞧,譙,劁,嶕,橾,嚼,晁,怊,弨,峭,帩,鞘,幧,繰,偢,愀,湫,煍,鍬
cho	草,粗,操,曹,嘈,措,醋,噪,澡,燥,槽,造,譟,慥,糙,跿,矂,懆,觕,駔,躁,艸,鄵,厝,螬,殂,氉,艚,徂,漕,繰,趮,騲,錯,酢,傮,麤,喿,慅
choh	楚,礎,坐,挫,初,錯,磋,鋤,銼,搓,蹉,莏,痤,鉏,蓌,犓,瘥,瑳,儊,雛,嵯,濋,阤,芻,侳,醝,檚,剉,莝,脞,鶵,鹺,傞,耡,矬,媰
choi	才,材,財,菜,蔡,賽,裁,采,彩,採,塞,啋,睬,綵,纔,埰,僿,跴,縩,茞,寀,跐
chok	砟,戳,剒,擉,錯
chong	倉,蒼,瘡,艙,創,藏,廠,闖,床,撞,滄,愴,幢,氅,傖,橦,磢,駔,鋹,刱,昶,搶,惝,鶬,凔,戃,敞
chor	錯,初,搓,磋,蹉,楚,坐,痤,挫,銼,礎,雛,鶵,耡,鋤,莏,鉏,蓌,犓,瘥,瑳,儊,嵯,濋,阤,芻,侳,醝,檚,剉,莝,脞,鹺,傞,矬,媰
chow	周,週,州,洲,舟,奏,揍,噣
chu	朱,處,署,廚,櫥,柱,儲,貯,曙,除,杵,躇,篨,宁,佇,紵,羜,麆,杼,芧,幮,躕,楮,褚,苧,蜍,滁
chue	主,煮,住,注,駐,鑄,朱,珠,株,蛛,銖,誅,諸,豬,柱,處,署,廚,櫥,躕,貯,儲,杵,枓,躇,杼,佇,楮,褚,苧
chuen	寸,吋,串,全,存,傳,穿,村,邨,泉,荃,川,喘,揣,踹,忖,痊,釧,詮,欑,遄,竄,踆,爨,墫,跧,蹲,輇,踳,氚,刌,玔,汆,縓,銓,醛,駩,恮,荈,牷,圌,攢,攛,巑,烇,舛,佺,瑔,筌,躥,絟,歂,椽
chuet	拙,撮,黜,茁,踅,猝,捽
chui	除,隨,取,趣,脆,吹,趨,催,摧,娶,翠,徐,廚,鎚,隋,捶,搥,槌,揣,璀,箠,橇,淬,蛆,炊,漼,趍,綷,錘,墔,嗺,榱,膗,趡,貙,倅,醊,磪,篨,膵,縗,膬,刞,衰,竁,惴,勦,涂,椎,鏙,覷,啐,腄,菙,滁,毳,脺,焠,棰,崔
chuk	束,促,速,畜,蓄,足,觸,趣,鄐,矗,憱,蹴,齪,觫,趨,樕,簇,歜,簌,蹙,蔌,蔟,踧,諔,俶,餗,亍,瘯,斶,豖,娖,敊,齱,涑,顣,滀,慉,搐
chun	春,蠢,循,巡,旬,秦,圳,紃,馴,鐫,螓,賰,輴,杶,栒,橁,偆,鰆,椿
chung	從,重,充,匆,衷,衝,聰,沖,虫,蟲,松,叢,縱,寵,踵,荵,涌,憧,樅,蔥,淙,冢,銃,漎,瑽,璁,摐,憃,賨,蓯,藂,艟,茺,忡,塚,罿,珫,种,埇,偅,驄,翀,浺,爞,鏦,悰,揰,琮,囪
chut	出,齣,撮,絀,黜,繓,咄,卒,猝,捽,椊,踅
#
da	打,咑,嘀
daai	帶,戴,歹,大,獃,呆,蔕,汏,𧜵,蹛,軑,傣,釱,襶
daak	咑
daam	膽,擔,淡,啖,眈,耽,氮,儋,髧,噉,聃,賧,倓,甔,憺,啗,澹,黕,餤,湛,嚪,酖,霮,紞,惔,窞,石,萏
daan	但,彈,單,丹,蛋,疍,旦,誕,簞,撣,匰,鉭,僤,蜑,襌,殫,燀,鄲,癉,繵,憚
daap	答,㗳,搭,踏,疊,蹋,嗒,遝,瘩,耷,𢱕,褡,嚃,沓,鞜,鎝,荅,鞳,畣,匒
daat	撻,噠,笪,達,呾,怛,妲,薘,繨,鐽,靼
dab	𢱕
dai	大,第,弟,隸,遞,帝,底,抵,低,邸,逮,坻,砥,蒂,悌,牴,締,嵽,氐,睼,碲,禘,蝃,疐,墆,詆,蔕,棣,杕,踶,遰,諦,磾,歹,螮,鍗,弤,阺,彽,柢,鞮,胝,埭,羝,釱,軧,渧,觝,揥,娣
dak	得,特,德,突,螣
dam	啗,抌,黕,沊,榃,黵,𨂽
dan	單,燉,潡,勯,撉,扽,墩,驐
dang	等,登,燈,訂,頂,掟,釘,𧄌,躉,戥,鄧,凳,櫈,瞪,澄,嶝,磴,墱,豋,蹬,鐙,簦
dat	突,凸,蟘,鼵,怢,妲,腯,葖,犆
dau	豆,𢭃,斗,抖,鬥,兜,竇,糾,逗,哣,荳,痘,脰,陡,讀,瀆,枓,蚪,鈄,唗,餖,鋀,梪,浢,郖,赳
de	弟,啲
deh	爹,嗲,襶
dei	地,哋,墬
dek	笛,糴,篴
deng	訂,釘,頂,掟,地,定,疔
deu	掉,調
deuk	啄,涿,斲,諑,剁,啅,琢
di	弟,啲
dik	的,𢯊,迪,狄,滴,敵,適,嘀,嫡,蹢,鏑,荻,翟,踧,藋,甋,玓,旳,鍉,滌,浟,适,覿,鸐,菂,靮
dim	點,店,掂,惦,墊,蒧,踮,簟,坫,磹,敁,扂,阽,痁,玷
din	電,典,顛,巔,癲,甸,殿,澱,奠,鈿,墊,癜,捵,碘,痶,淀,靛,佃,傎,滇,瘨,蹎,齻
ding	定,頂,鼎,丁,仃,叮,汀,玎,盯,町,耵,訂,酊,釘,飣,靪,濎,艼,疔,啶,碇,椗,錠,鋌,薡
dip	碟,牒,蝶,諜,疊,墊,喋,褶,蜨,褋,艓,蹀,堞,鰈,啑,揲,跕,惵,楪
dit	跌,秩,迭,苵,佚,帙,昳,柣,袟,紩,眣,詄,軼,瓞,翐,垤,咥,螲,絰,臷,耋,墆
diu	丟,雕,掉,吊,釣,調,刁,叼,貂,鵰,蛁,窕,凋,銩,銚,誂,鯛,蓧,窵,錭,盄,屌,碉,彫,琱,弔,𨳒
do	刀,都,到,倒,道,度,喥,導,渡,盜,蹈,島,搗,睹,賭,悼,杜,稻,妒,綞,嘟,禱,鍍,魛,鳭,蠹,燾,忉,氘,芏,舠,擣,壔,闍,斁,幬,叨,堵,翿,秺,捯,嚲,纛,儅
doh	惰,墮,多,朵,躲,垛,跺,埵
doi	代,待,袋,黛,迨,岱,玳,怠,蝳,逮,祋,埭,紿,靆,殆,詒,酨
dok	度,踱,鐸,喥,襗,剫
dong	當,噹,擋,檔,黨,蕩,盪,簜,逿,襠,讜,潒,碭,鐺,党,踼,璗,璫,宕,戙,婸,欓,簹,艡,蟷,瑒,瓽,钂,菪,攩,愓
dor	多,朵,躲,惰,墯,嶞,墬,陏,陊,剁,哆,垛,奲,跺,埵,鬌,嚲,墮
duek	啄,涿,斲,諑,噣,剁,啅,椓,琢
duen	短,段,斷,端,緞,鍛,碫,耑,毈,籪,剬,腶,椴
duet	奪,咄,柮,敓
dui	對,堆,隊,𢵌,兌,敦,膇,薱,錞,憝,懟,譈,鐓,轛,碓
duk	獨,讀,毒,督,篤,贕,頓,犢,牘,髑,黷,瀆,櫝,裻,韇,皾,殰,韣,碡,纛,讟
dum	𨂽
dun	敦,噸,頓,鈍,遁,惇,墩,諄,墫,蹲,吨,遯,礅,炖,燉,鐓,沌,盹,囤
dung	東,冬,凍,動,洞,幢,棟,董,懂,踵,蝀,峒,恫,侗,湩,柊,炵,氡,鮦,垌,挏,咚,戙,硐,鶇,慟,蕫,涷,崠,胴,衕,鼕
dup	𢱕
dut	咄,嘟,𡁯
#
eh	誒,欸
#
fa	花,化,華,蘤,錵,杹
faai	快,筷,塊,傀,磈,駃,噲,咶
faan	反,返,番,翻,凡,帆,繁,藩,范,泛,飯,犯,煩,墦,範,幡,樊,釩,販,阪,瓣,氾,汎,繙,礬,羳,梵,犿,鋄,璠,膰,燔,薠,旛,畈,颿,籓,瀿,軓,蠜,笵,鐇,蹯,鷭,笲,蘩,轓,軬,蕃
faat	法,發,髮,砝,琺
fai	費,廢,揮,輝,肺,吠,麾,墮,鰴,徽,嘳,芾,翬,沸,墯,褘,剕,厞,俷,倠,焚,怫,鼣,狒,昲,癈,隳,痱,鐨,疿,噅,櫠,煇,暉,撝,楎
fan	分,份,芬,紛,勳,昏,婚,訓,瞓,糞,吩,粉,葷,憤,奮,噴,焚,墳,勛,氛,忿,熏,薰,蒶,緡,醺,窨,幩,僨,燻,濆,臐,籸,羵,妢,坋,魵,歕,蕡,反,番,黺,鼢,昐,獯,砏,玢,閽,枌,曛,秎,賁,鼖,酚,纁,瀵,惛,涽,羒,蚡,翂,豶,衯,焄,黂,轒,饙,睧,棻,雰,殙,棼,棔,鈖,汾
fang	揈
fat	乏,忽,彿,佛,罰,伐,閥,拂,弗,窟,法,發,髮,砝,琺,笏,惚,袚,筏,咈,狒,坲,怫,紼,冹,沷,帗,祓,紱,瞂,韍,黻,茀,巿,芾,刜,魆,芴,昒,岪,曶,茷,啒,堀,疺,笰,淴,綍,氟,欻,艴,匢,囫
fau	否,浮,埠,復,涪,芣,阜,罘,桴,烰,琈,蜉,罦,缶,缹,紑,鴀,峊,裒,剻
fei	非,飛,肥,菲,妃,啡,誹,翡,匪,屝,扉,斐,榧,陫,悱,緋,腓,馡,騑,鯡,蜰,蜚,霏,剕,篚,狒,朏,痱,疿,淝,婓,棐
feng	風
foh	火,伙,貨,課,科,顆,夥,棵,窠,蝌,稞,錁,騍,髁,鈥
fok	霍,攉,縛,藿,臛,矍,彏,戄,攫,玃,蠼,躩,貜
fong	方,放,況,房,防,仿,彷,妨,汸,坊,昉,枋,肪,訪,紡,舫,鈁,魴,荒,芳,慌,謊,肓,倣,皝,髣,衁,恍,匚,巟,怳,邡,瓬,晃,滉,熀,榥,幌,貺
foo	夫,父,付,附,腐,負,赴,傅,輔,乎,符,副,富,庫,芙,婦,苦,斧,府,虎,撫,膴,孚,呼,枯,膚,敷,俘,褲,賦,楛,荴,虖,琥,麩,頫,骷,孵,仆,莆,趺,俯,腑,弣,咐,泭,拊,柎,祔,蚹,胕,跗,軵,駙,鮒,寣,戲,滹,唬,歑,嘸,幠,榑,賻,鳧,鄜,蝜,褔,苻,謼,簠,鳺,虍,刳,莩,戽,俛,挎,枹,甫,尃,垺,偩,桴,伕,扶,枎,衭,蚨,砆,鈇,郙,郛,訃,脯,蜅,黼,滏,痡,罦,稃,釜
fooi	灰,恢,詼,悔,晦,誨,魁,奎,喙,洧,賄,鮪,痏,虺,豗
fook	福,幅,覆,服,伏,復,複,复,愎,腹,蝮,輹,鍑,馥,鰒,虙,蝠,輻,箙,襆,菔,蕧,鴔,宓,洑,垘,茯,纀,鵩,葍
foon	寬,歡,款,臗,髖,雚,嚾,懽,獾,讙,驩,梡,盥,犿,窾
foot	闊,蛐
foh	火,伙,貨,課,科,顆,夥,棵,窠,蝌,稞,錁,騍,髁,鈥
fu	夫,父,付,附,腐,負,赴,傅,輔,乎,符,副,富,庫,芙,婦,苦,斧,府,虎,撫,膴,孚,呼,枯,膚,敷,俘,褲,賦,楛,荴,虖,琥,麩,頫,骷,孵,仆,莆,趺,俯,腑,弣,咐,泭,拊,柎,祔,蚹,胕,跗,軵,駙,鮒,寣,戲,滹,唬,歑,嘸,幠,榑,賻,鳧,鄜,蝜,褔,苻,謼,簠,鳺,虍,刳,莩,戽,俛,挎,枹,甫,尃,垺,偩,桴,伕,扶,枎,衭,蚨,砆,鈇,郙,郛,訃,脯,蜅,黼,滏,痡,罦,稃,釜
fui 	灰,恢,詼,悔,晦,誨,魁,奎,洧,賄,鮪,櫆,悝,痏,虺,豗,喙,顪
fuk	福,幅,覆,服,伏,復,複,复,愎,腹,蝮,輹,鍑,馥,鰒,虙,蝠,輻,箙,襆,菔,蕧,鴔,宓,洑,垘,茯,纀,鵩,葍
fun	嚾,梡
fung	風,瘋,豐,封,馮,逢,奉,俸,捧,唪,楓,諷,鳳,丰,蓬,烽,峰,蜂,鋒,摓,縫,覂,夆,賵,妦,蘴,甮,灃,酆,崶,葑,犎,渢,飌,麷
fut	闊,蛞
#
ga	加,家,架,㗎,𢱌,假,價,駕,嘉,傢,嫁,迦,葭,咖,耞,伽,稼,噶,嘎,鴐,袈,榎,嘏,瘕,釓,賈,价,癿,尕,枷,珈,泇,檟,痂,鎵,笳,豭,犌,跏,斝,茄,椵,幏
gaai	介,解,界,𠝹,戒,佳,街,皆,楷,誡,階,屆,尬,芥,偕,懈,犗,骱,蝔,妎,价,廨,疥,玠,薢,檞,痎,秸,蚧,喈,湝
gaak	格,𠺝,隔,革,骼,翮,鬲,觡,鎘,肐,挌,膈,茖,胳,滆,愅,嗝,塥
gaam	減,監,橄,緘,淦,鑑,鑒,尷,椷
gaan	柬,揀,簡,間,艱,奸,姦,澗,𢵧,梘,鹼,繭,筧,襉,蕑,瞷,諫,癇,茧,趼,菅,堿,葌,襺,閒
gaang	耕,更,梗,浭,挭,逕
gaap	夾,甲,頰,鴿,蛤,革,莢,搿,岬,胛,鉀,舺,郟,浹,梜,蛺,筴,裌,鋏,袷,跲,鞈,韐
gaat	戛,軋,釓,恝,曱
gaau	交,攪,較,教,膠,郊,餃,狡,搞,校,覺,滘,佼,姣,皎,絞,蛟,跤,詨,鉸,鮫,窖,酵,斠,艽,鵁,轇,珓,窌,茭,筊
gai	雞,計,偈,繼,髻,解,薊,罽,枅,炔,笄,瀱,蟿,蘮,紒,筀
gam	咁,感,敢,金,今,甘,柑,禁,㩒,噤,噉,澉,橄,撳,淦,錦,僸,贛,凎,疳,泔,紺,衿,紟,灨
gan	緊,跟,根,筋,巾,斤,近,僅,瑾,謹,饉,槿,殣,靳,覲,墐,艮,廑,伒,瘽,巹,峎,哏,觔,茛,堇,菫,釿
gang	更,哽,梗,𠼰,耿,驚,鏡,庚,賡,亙,羹,緪,浭,埂,粳,骾,鯁,堩,郠,鶊,綆
gap	夾,急,郃,鴿,及,𥄫,蓋,閤,頜,岌,蛤,忣,芨,峆,合
garp	夾,蛤,郃,鴿
gat	吉,咭,疙,趌,佶,桔,姞,吃,虼,肐,紇,趷,訖
gau	九,玖,久,夠,救,究,舊,嚿,狗,疚,糾,咎,溝,構,購,垢,韭,廄,遘,柩,袧,鉤,鳩,雊,詬,勾,覺,緱,摎,樛,龜,灸,冓,搆,媾,耇,苟,枸,朻,篝,勼,芶,岣,姤,泃,覯,捄,韝,笱,鬮,赳,句,彀,𨳊
ge	嘅,痂
gei	己,記,幾,機,技,忌,基,既,紀,暨,寄,羈,羇,肌,飢,饑,奇,其,期,箕,姬,畸,洎,畿,嘰,麂,妓,覬,乩,跽,芰,穊,磯,誋,騎,譏,鬾,觭,踦,剞,蟣,旡,伎,錤,刉,丌,庋,机,忮,禨,虮,几,鵋,庪,唭,徛,鐖,鞿,掎,惎,計,犄,蔇,稘,杞,萁,璣
geng	驚,鏡,頸
gep	夾
geuk	腳,谻,屩,蹻
geung	姜,彊,薑,疆,韁,殭,羌,蜣,礓,橿,糨,強,僵,唴
geur	鋸
gik	極,激,擊,革,戟,撠,棘,毄,襋,亟,撽,墼,丮,衱,轚,殛
gim	兼,劍,儉,撿,檢,瞼,蒹,縑,鶼,鰜,搛
gin	見,件,建,健,鍵,堅,肩,毽,鰹,囝,蹇,豜,麉,謇,鞬,茧,趼,鵳,寋,犍,菺,靬,鈃,腱,楗
ging	勁,經,京,竟,景,境,敬,警,驚,矜,徑,憬,璟,幜,兢,莖,逕,獍,儆,競,荊,憼,巠,剄,俓,涇,桱,痙,鵛,弳,蟼,倞,惊,婛,鶁,殑,麠
gip	夾,硤,劫,澀,狹,抾,喼,鵖
git	潔,結,傑,杰,頡,擷,桀,榤,偈,佶,洁,拮,袺,鮚,絜
giu	叫,撬,驕,嬌,繳,矯,轎,僥,憍,撟,嶠,蟜,蹻,鱎,儌,嘂,皦,敿,噭,徼,譥,澆
go	高,告,羔,糕,膏,稿,縞,皓,誥,鋯,暠,睾,鎬,槔,杲,皋,槁,鼛,櫜,郜,咎,篙
goh	個,嗰,哥,歌,過,果,裹,猓,蜾,哿,旮,牁,箇,舸,菏
goi	改,該,蓋,垓,賌,隑,侅,陔,絯,胲,賅,荄,祴
gok	各,角,覺,閣,擱,捔,桷,國,郭,幗,蟈,廓,玨,嘓,閤,斠,膕,鉻,硌,崞,傕,郝,袼
gon	趕,幹,乾,干,杆,肝,鳱,骭,漧,虷,玕,玗,旰,桿,皯,矸,竿,簳,赶,榦,酐,筸,稈
gong	講,港,降,江,剛,綱,鋼,缸,槓,岡,崗,亢,洸,絳,光,廣,釭,扛,銧,舡,耩,矼,瓨,疘,洚,桄,罡,顜,堈,胱,茳,豇,筸,杠,碙,棡,堽,犅,摃,肛
goo	古,估,故,固,鼓,顧,股,蠱,咕,辜,雇,僱,孤,沽,姑,菇,鈷,蛄,瞽,錮,鴣,凅,盬,罟,臌,呱,牯,羖,詁,痼,酤,觚,菰
gooi	攰
goon	觀,官,貫,冠,灌,鑵,管,館,琯,倌,莞,棺,鸛,罐,盥,毌,矔,錧,朊,涫,瓘,爟,悺,斡,筦,痯,祼,脘
gor	哥,歌,個,嗰,果,哿,犵,旮,箇,笴,舸,菏
got	葛,割,嶱,輵,轕
